,,2月 joint 累計支出：36684,,,,,
品項,說明,金額,日期,,Source,Payer,
雞蛋糕,,50,2018-01-31,,,,
外食,,195,2018-02-01,Joint,Trista_Cash,trista,
水果,,230,2018-02-01,Joint,Trista_Cash,trista,
牛奶,,93,2018-02-01,Joint,Trista_Cash,trista,
紅茶,*2,40,2018-02-01,Joint,Trista_Cash,trista,
麵包,,45,2018-02-01,Joint,Trista_Cash,trista,
外食,滷味,245,2018-02-02,Joint,Trista_Cash,trista,
外食,摩斯,265,2018-02-02,Joint,Trista_Cash,trista,
蔬菜,玉米、蔥,95,2018-02-03,Joint,Trista_Cash,trista,
肉,雞腿,170,2018-02-03,Joint,Trista_Cash,trista,
蔬菜,香菇、杏鮑菇、小玉米、山茼蒿、小白菜、四季豆,330,2018-02-03,Joint,Trista_Cash,trista,
水果,,150,2018-02-03,Joint,Trista_Cash,trista,
外食,早餐,195,2018-02-03,Joint,Trista_Cash,trista,
零食,*2,48,2018-02-03,Joint,Trista_Cash,trista,
外食,鹽酥雞,185,2018-02-03,Joint,Trista_Cash,trista,
紅茶,*2,40,2018-02-04,Joint,Trista_Cash,trista,
水果,,40,2018-02-04,Joint,Trista_Cash,trista,
汽泡水,*4,68,2018-02-04,Joint,Trista_Cash,trista,
零食,檸檬派,49,2018-02-04,Joint,Trista_Cash,trista,
雞絲麵,,49,2018-02-04,Joint,Trista_Cash,trista,
零食,酥雞汁餅乾,56,2018-02-04,Joint,Trista_Cash,trista,
零食,王子麵,56,2018-02-04,Joint,Trista_Cash,trista,
辛拉麵,*2,110,2018-02-04,Joint,Trista_Cash,trista,
肉,肉絲,68,2018-02-04,Joint,Trista_Cash,trista,
肉,牛肉片,141,2018-02-04,Joint,Trista_Cash,trista,
肉,豬里肌肉片,95,2018-02-04,Joint,Trista_Cash,trista,
奶油,,57,2018-02-04,Joint,Trista_Cash,trista,
蜂蜜,*2,999,2018-02-04,Joint,Trista_Cash,trista,
點心,大湖姐姐草莓卷蛋糕,680,2018-02-04,Joint,Trista_Cash,trista,
游泳券,*30,2550,2018-02-05,Joint,Trista_Cash,trista,
外食,牛家莊,500,2018-02-05,Joint,Trista_Cash,trista,
棉花棒,*2,79,2018-02-05,Joint,Trista_Cash,trista,
牙線棒,,124,2018-02-05,Joint,Trista_Cash,trista,
紅茶,*2,40,2018-02-06,Joint,Trista_Cash,trista,
牛奶,,88,2018-02-06,Joint,Trista_Cash,trista,
水果,,173,2018-02-06,Joint,Trista_Cash,trista,
外食,飯糰,195,2018-02-07,Joint,Trista_Cash,,
香腸,＊2,76,2018-02-07,Joint,Trista_Cash,,
咖啡,,120,2018-02-07,Joint,Trista_Cash,,
雞蛋,,72,2018-02-07,Joint,Trista_Cash,,
外食,,190,2018-02-08,Joint,Trista_Cash,,
牛奶,,93,2018-02-08,Joint,Trista_Cash,,
紅茶,*2,40,2018-02-08,Joint,Trista_Cash,,
水果,,155,2018-02-08,Joint,Trista_Cash,,
外食,丼飯,465,2018-02-09,Joint,Trista_Cash,,
牛奶,,93,2018-02-09,Joint,Trista_Cash,,
紅茶,*2,40,2018-02-09,Joint,Trista_Cash,,
吐司,,25,2018-02-02,Joint,Trista_Cash,,
游泳,,55,2018-02-02,Joint,Trista_Cash,,
外食,鹽酥雞,270,2018-02-10,Joint,Trista_Cash,,
牙膏,,189,2018-02-10,Joint,Trista_Cash,,
外食,摩斯,370,2018-02-11,Joint,Trista_Cash,undefined,
